O*NET-SOC Code,Artistic,Conventional,Enterprising,Investigative,Realistic,Social
43-5051.00,1.33,7.0,2.67,1.0,3.67,3.0
43-5052.00,1.0,6.33,3.33,1.33,5.67,3.0
43-5053.00,1.0,7.0,2.33,1.0,4.67,1.33
43-5061.00,1.0,6.67,5.33,1.67,2.67,1.67
43-5071.00,1.0,6.33,3.67,1.0,5.0,1.0
43-5111.00,1.0,7.0,3.33,2.0,4.67,1.67
43-6011.00,1.33,7.0,4.67,2.67,2.67,3.33
43-6012.00,1.0,7.0,4.33,2.0,2.33,2.33
43-6013.00,1.33,7.0,3.33,3.33,3.0,4.33
43-6014.00,1.33,7.0,5.0,1.0,1.33,3.0
43-9021.00,1.0,7.0,3.33,2.67,4.33,1.0
43-9022.00,1.0,7.0,2.67,1.0,1.33,1.33
43-9031.00,6.0,3.67,2.0,4.0,3.33,1.33
43-9041.00,1.0,6.83,4.5,1.83,1.0,2.67
43-9051.00,1.33,6.67,2.33,2.33,6.0,1.33
43-9061.00,1.0,7.0,4.33,1.67,3.67,3.67
43-9071.00,1.0,5.67,2.67,1.0,6.0,1.67
43-9081.00,3.33,6.67,2.67,1.67,1.33,2.67
43-9111.00,2.0,7.0,3.67,5.33,2.67,1.33
45-1011.00,1.08,4.33,6.5,2.33,5.83,2.42
45-2011.00,1.33,4.33,3.33,4.0,6.67,1.67
45-2021.00,1.33,2.67,2.67,3.67,6.67,1.0
45-2041.00,1.33,5.67,1.67,3.0,6.0,1.0
45-2091.00,1.0,2.0,1.67,1.67,7.0,1.0
45-2092.00,1.0,2.0,1.17,1.33,7.0,1.0
45-2093.00,1.0,2.33,1.33,1.33,7.0,1.0
45-3031.00,1.33,1.67,2.0,2.17,7.0,1.0
45-4011.00,1.33,4.67,3.0,3.67,7.0,1.67
45-4021.00,1.0,3.33,2.0,2.0,7.0,1.0
45-4022.00,1.0,3.67,1.67,3.67,7.0,1.0
45-4023.00,1.0,4.67,3.0,2.0,6.0,1.0
47-1011.00,1.0,4.67,7.0,1.67,5.67,2.33
47-1011.03,1.33,3.0,6.67,2.33,4.33,2.33
47-2011.00,1.0,2.67,1.67,1.67,7.0,1.0
47-2021.00,2.67,4.33,1.33,4.33,7.0,1.0
47-2022.00,2.0,2.0,2.0,1.0,7.0,1.33
47-2031.00,2.5,4.67,1.67,4.17,7.0,1.0
47-2041.00,1.33,2.67,3.0,1.33,7.0,1.67
47-2042.00,2.33,5.33,1.33,3.0,7.0,1.0
47-2043.00,1.0,2.0,1.33,1.0,7.0,1.0
47-2044.00,3.67,4.67,1.67,2.67,7.0,1.33
47-2051.00,1.33,2.67,3.0,1.67,7.0,1.0
47-2053.00,2.0,2.0,1.67,1.0,7.0,1.0
47-2061.00,1.0,2.67,2.33,1.0,7.0,1.0
47-2071.00,1.0,2.67,2.33,1.0,7.0,1.0
47-2072.00,1.33,3.67,1.67,3.33,7.0,1.0
47-2073.00,1.0,4.33,1.67,3.33,7.0,1.0
47-2081.00,2.0,5.33,2.0,3.0,7.0,1.33
47-2082.00,1.0,2.33,1.67,1.67,7.0,1.0
47-2111.00,1.33,3.33,2.67,3.33,7.0,1.33
47-2121.00,1.0,2.67,2.0,1.33,7.0,1.0
47-2131.00,1.0,2.33,1.67,1.33,6.67,1.0
47-2132.00,1.67,5.0,1.67,4.0,7.0,1.0
47-2141.00,1.67,2.67,1.67,1.0,7.0,1.0
47-2142.00,2.0,4.67,2.0,2.33,7.0,1.0
47-2151.00,1.0,2.33,2.33,1.33,7.0,1.33
47-2152.00,1.5,4.0,2.17,3.17,7.0,1.0
47-2152.04,1.0,4.0,2.0,2.33,6.67,2.0
47-2161.00,2.33,2.33,2.0,1.0,7.0,1.0
47-2171.00,1.67,4.67,1.0,3.33,7.0,1.0
47-2181.00,1.0,2.67,1.67,2.0,7.0,1.0
47-2211.00,1.67,2.0,1.67,1.33,7.0,1.0
47-2221.00,1.33,3.0,2.0,3.0,7.0,1.0
47-2231.00,1.33,4.0,1.67,2.67,6.67,1.67
47-3011.00,1.0,2.33,1.67,1.0,7.0,1.33
47-3012.00,1.33,4.33,2.33,2.0,7.0,1.33
47-3013.00,1.33,3.33,1.67,2.67,6.67,1.33
47-3014.00,1.67,2.67,2.33,1.0,6.67,1.33
47-3015.00,1.0,2.33,1.67,1.33,7.0,1.0
47-3016.00,1.0,4.33,2.0,2.0,7.0,2.0
47-4011.00,1.33,6.0,2.67,4.67,7.0,1.0
47-4011.01,1.0,7.0,4.67,2.67,3.33,1.33
47-4021.00,1.67,4.67,2.33,5.0,7.0,1.0
47-4031.00,1.33,4.67,2.67,2.67,7.0,1.0
47-4041.00,1.0,3.67,2.33,3.0,6.67,1.67
47-4051.00,1.0,4.33,2.33,3.0,7.0,1.33
47-4061.00,1.0,2.33,1.67,1.33,7.0,1.0
47-4071.00,1.0,2.33,2.67,1.67,7.0,1.33
47-4091.00,1.67,2.67,2.33,1.0,7.0,1.0
47-4099.03,1.0,4.0,2.67,2.67,6.67,2.33
47-5011.00,1.0,4.33,2.33,4.0,7.0,1.33
47-5012.00,1.0,3.33,4.0,2.0,7.0,2.0
47-5013.00,1.0,4.33,2.33,3.67,7.0,1.33
47-5022.00,1.0,1.67,2.0,1.67,7.0,1.0
47-5023.00,2.0,4.33,1.33,5.0,7.0,1.0
47-5032.00,1.33,4.67,2.33,5.67,6.67,1.33
47-5041.00,1.0,3.67,2.0,3.33,7.0,1.0
47-5043.00,1.0,2.67,1.33,1.33,7.0,1.0
47-5044.00,1.0,4.0,1.67,3.0,7.0,1.0
47-5051.00,1.33,3.67,1.33,2.67,7.0,1.0
47-5071.00,1.0,2.0,1.33,1.33,7.0,1.0
47-5081.00,1.0,4.33,2.0,2.67,7.0,2.0
49-1011.00,1.0,5.67,7.0,2.33,4.67,2.67
49-2011.00,1.33,5.0,2.67,4.67,7.0,2.0
49-2021.00,1.0,3.0,2.0,2.33,7.0,1.67
49-2022.00,1.33,4.67,2.33,5.0,7.0,2.0
49-2091.00,1.33,4.33,2.33,4.33,7.0,1.0
49-2092.00,1.0,3.33,1.33,2.33,7.0,1.0
49-2093.00,1.0,4.0,2.0,3.0,7.0,1.0
49-2094.00,2.33,4.67,2.67,5.33,7.0,1.0
49-2095.00,1.33,3.67,2.0,3.0,6.67,1.0
49-2096.00,2.0,4.33,2.0,5.0,7.0,1.0
49-2097.00,1.33,4.33,3.0,3.0,6.33,2.0
49-2098.00,1.0,3.67,2.0,2.67,6.67,1.0
49-3011.00,1.33,4.67,2.0,3.67,7.0,1.0
49-3021.00,1.67,2.33,2.33,1.67,7.0,1.0
49-3022.00,1.0,3.33,3.0,1.0,7.0,1.67
49-3023.00,1.0,3.0,2.5,3.5,7.0,1.17
49-3031.00,1.0,3.33,1.67,2.33,7.0,1.0
49-3041.00,1.33,5.0,2.0,4.0,7.0,1.33
49-3042.00,1.0,3.0,1.67,2.67,7.0,1.0
49-3043.00,1.0,2.67,1.33,2.67,7.0,1.0
49-3051.00,1.0,3.67,1.67,3.0,7.0,1.0
49-3052.00,1.33,2.67,2.0,2.33,7.0,1.0
49-3053.00,1.0,3.33,3.0,2.0,7.0,1.67
49-3091.00,2.0,4.33,2.67,3.67,7.0,1.0
49-3092.00,1.33,4.0,2.33,4.67,7.0,1.33
49-3093.00,1.0,4.0,2.0,3.0,7.0,2.0
49-9011.00,1.0,2.67,2.33,2.33,7.0,1.0
49-9012.00,1.0,4.67,2.0,4.0,7.0,1.0
49-9021.00,1.5,3.83,3.0,3.17,7.0,1.17
49-9031.00,1.0,5.0,2.67,4.33,7.0,1.67
49-9041.00,1.33,4.33,1.33,4.67,7.0,1.33
49-9043.00,1.33,5.0,2.0,3.67,7.0,1.33
49-9044.00,1.67,3.0,1.33,3.0,7.0,1.0
49-9045.00,1.0,3.67,1.67,3.33,7.0,1.0
49-9051.00,2.33,4.0,1.67,4.33,7.0,1.0
49-9052.00,1.0,2.67,3.0,2.0,6.67,1.0
49-9061.00,2.0,4.67,1.67,4.67,7.0,1.0
49-9062.00,1.67,4.67,1.67,5.0,7.0,1.33
49-9063.00,4.67,4.0,1.67,4.0,7.0,1.33
49-9064.00,1.33,4.67,1.67,4.0,7.0,1.0
49-9071.00,1.33,4.33,2.33,3.67,7.0,1.0
49-9081.00,1.0,4.0,2.33,2.33,6.67,1.33
49-9091.00,1.0,5.0,3.0,3.33,7.0,1.0
49-9092.00,1.33,2.33,2.33,2.33,7.0,1.0
49-9094.00,1.0,3.67,2.33,1.67,7.0,1.67
49-9095.00,1.33,3.33,2.67,1.67,7.0,2.33
49-9096.00,1.33,5.0,2.33,3.67,7.0,1.0
49-9097.00,1.0,3.33,1.67,2.0,7.0,1.0
49-9098.00,1.0,5.33,1.67,4.67,7.0,1.33
49-9099.01,1.0,4.0,2.33,2.33,6.67,1.33
51-1011.00,1.0,5.0,7.0,2.67,5.67,2.33
51-2011.00,1.0,2.67,2.0,1.67,7.0,1.0
51-2021.00,1.33,4.67,1.67,3.33,7.0,1.0
51-2022.00,1.0,3.0,2.0,1.67,7.0,1.0
51-2023.00,1.33,4.67,1.67,4.33,7.0,1.0
51-2031.00,1.0,3.0,1.33,2.0,7.0,1.0
51-2041.00,2.67,5.0,1.67,3.0,7.0,1.0
51-2051.00,2.0,5.33,1.33,3.67,7.0,1.0
51-2061.00,1.33,2.67,1.33,1.67,7.0,1.0
51-2092.00,1.0,5.0,4.67,2.0,7.0,1.67
51-3011.00,2.33,4.0,3.0,1.33,6.67,1.0
51-3021.00,1.33,4.67,4.0,1.67,6.67,1.33
51-3022.00,1.0,2.0,1.33,1.33,7.0,1.0
51-3023.00,1.67,5.0,2.67,2.0,7.0,1.0
51-3091.00,1.0,3.0,2.0,1.67,7.0,1.0
51-3092.00,1.67,6.0,3.0,3.33,7.0,1.0
51-3093.00,1.0,5.33,2.67,3.33,7.0,1.33
51-4021.00,1.0,2.67,1.67,1.33,7.0,1.0
51-4022.00,1.0,4.33,2.0,3.33,7.0,1.0
51-4023.00,1.0,4.0,3.0,2.0,6.67,1.0
51-4031.00,1.0,5.33,2.33,3.33,7.0,1.0
51-4032.00,1.67,5.0,2.0,4.67,7.0,1.0
51-4033.00,1.0,2.33,1.67,1.67,7.0,1.0
51-4034.00,2.0,4.33,1.33,4.67,7.0,1.0
51-4035.00,1.0,3.33,1.67,1.67,7.0,1.0
51-4041.00,2.0,5.33,1.33,4.67,7.0,1.0
51-4051.00,1.67,5.0,1.67,5.67,7.0,1.0
51-4052.00,1.0,3.0,1.67,2.0,7.0,1.0
51-4061.00,1.67,3.33,2.0,3.33,6.67,1.0
51-4062.00,4.0,4.33,1.33,4.33,7.0,1.0
51-4071.00,2.33,4.0,2.0,3.33,7.0,1.0
51-4072.00,1.67,5.0,1.33,3.67,7.0,1.0
51-4081.00,1.0,2.33,1.67,2.0,7.0,1.33
51-4111.00,3.33,4.33,1.33,5.0,6.67,1.0
51-4121.00,1.0,2.67,1.5,2.0,7.0,1.0
51-4122.00,1.33,4.67,3.33,3.33,7.0,1.0
51-4191.00,1.33,3.33,2.0,2.33,7.0,1.0
51-4192.00,2.0,3.67,1.67,3.67,6.33,1.0
51-4193.00,1.0,3.33,1.33,2.33,7.0,1.0
51-4194.00,1.33,3.0,2.0,2.0,7.0,1.0
51-5111.00,1.67,5.67,2.0,1.0,6.33,1.0
51-5112.00,1.67,5.0,2.0,1.67,6.33,1.33
51-5113.00,3.0,4.67,2.33,1.67,6.0,1.33
51-6011.00,1.0,3.33,2.33,1.33,6.33,1.33
51-6021.00,2.33,5.33,2.0,2.67,7.0,1.33
51-6031.00,1.67,4.0,1.67,1.33,6.67,1.0
51-6041.00,4.0,4.67,1.67,1.67,7.0,1.67
51-6042.00,1.0,2.67,1.67,1.33,7.0,1.0
51-6051.00,5.0,4.67,1.67,1.67,6.0,1.33
51-6052.00,4.0,2.33,3.67,1.0,6.67,2.0
51-6061.00,1.0,2.33,1.67,1.67,6.67,1.0
51-6062.00,1.0,2.67,1.33,1.33,7.0,1.0
51-6063.00,2.33,5.0,2.67,1.33,7.0,1.33
51-6064.00,1.0,3.33,2.0,1.67,6.67,1.0
51-6091.00,1.0,2.67,2.0,2.33,7.0,1.0
51-6092.00,4.67,3.67,2.0,1.33,5.67,1.0
51-6093.00,1.67,2.0,2.33,1.0,6.67,1.0
51-7011.00,2.0,2.67,2.0,1.0,7.0,1.0
51-7021.00,2.67,2.0,1.67,1.0,7.0,1.0
51-7031.00,4.67,4.33,1.0,3.33,7.0,1.0
51-7032.00,4.0,4.0,1.33,4.33,7.0,1.0
51-7041.00,1.67,5.0,1.0,3.33,7.0,1.0
51-7042.00,1.67,4.67,1.33,3.67,7.0,1.0
51-8011.00,1.0,4.0,3.0,1.67,6.67,1.0
51-8012.00,1.33,4.33,4.0,5.0,6.67,1.33
51-8013.00,1.0,4.33,2.33,2.0,6.33,1.0
51-8013.03,1.0,4.0,2.0,3.0,6.0,1.33
51-8013.04,1.0,3.67,1.67,3.0,6.0,1.33
51-8021.00,1.0,4.33,2.33,4.67,7.0,1.33
51-8031.00,1.33,3.67,2.0,2.33,6.33,1.0
51-8091.00,1.0,3.67,2.0,2.33,7.0,1.33
51-8092.00,1.0,6.33,2.67,3.33,6.33,1.0
51-8093.00,1.0,4.33,2.33,1.67,7.0,1.33
51-8099.01,1.0,4.0,2.0,3.0,6.0,1.33
51-9011.00,1.33,3.33,2.0,2.0,7.0,1.0
51-9012.00,1.33,5.0,2.33,4.33,7.0,1.33
51-9021.00,1.33,5.0,2.0,3.67,7.0,1.0
51-9022.00,2.67,4.33,1.67,3.33,7.0,1.0
51-9023.00,1.0,4.67,1.33,3.67,7.0,1.0
51-9031.00,1.67,5.33,2.0,2.33,7.0,1.0
51-9032.00,1.0,3.0,2.0,1.33,7.0,1.0
51-9041.00,1.33,5.33,1.67,3.67,7.0,1.0
51-9051.00,1.0,4.0,2.0,2.67,7.0,1.0
51-9061.00,1.0,6.67,2.67,3.67,6.33,1.67
51-9071.00,4.67,2.5,2.5,2.17,6.83,1.0
51-9071.06,2.0,3.0,2.33,3.33,6.67,1.0
51-9081.00,2.0,4.33,1.67,5.0,6.33,2.67
51-9082.00,2.33,3.0,1.67,4.67,7.0,4.33
51-9083.00,1.0,3.67,2.0,2.33,7.0,1.0
51-9111.00,1.67,5.33,1.67,3.0,7.0,1.0
51-9123.00,2.67,2.67,1.67,1.33,7.0,1.33
51-9124.00,2.0,4.67,1.67,3.67,7.0,1.0
51-9141.00,1.33,5.0,2.33,4.33,7.0,1.0
51-9151.00,2.67,6.33,2.0,2.0,4.33,2.0
51-9161.00,1.0,2.67,1.67,1.67,7.0,1.0
51-9162.00,2.0,6.0,1.67,6.0,5.67,1.33
51-9191.00,1.0,3.67,2.0,1.33,6.67,1.0
51-9192.00,1.0,2.67,1.33,1.33,7.0,1.0
51-9193.00,1.0,5.0,1.67,4.0,7.0,1.0
51-9194.00,2.67,3.33,2.33,1.0,7.0,1.67
51-9195.00,1.0,2.33,1.0,1.0,7.0,1.0
51-9195.03,6.0,2.67,1.67,1.67,7.0,1.0
51-9195.04,4.33,5.0,2.0,3.0,6.67,1.0
51-9195.05,4.0,1.67,1.33,1.33,6.67,1.0
51-9196.00,1.0,4.67,2.33,3.0,6.67,1.0
51-9197.00,1.33,4.33,1.67,3.0,7.0,1.0
51-9198.00,1.33,5.0,1.33,3.0,7.0,1.33
53-1041.00,1.33,3.67,7.0,2.67,5.67,2.0
53-1042.00,1.0,4.33,7.0,1.33,4.67,2.33
53-1042.01,1.0,4.0,5.67,1.67,2.67,2.0
53-1043.00,1.0,5.67,7.0,1.67,4.67,2.0
53-2011.00,1.33,5.33,3.0,4.33,7.0,1.67
53-2012.00,1.0,3.67,4.33,4.33,6.67,2.33
53-2021.00,1.0,6.0,6.33,2.33,3.67,2.33
53-2022.00,1.0,5.0,5.0,3.67,3.67,2.33
53-2031.00,2.33,4.67,6.0,1.33,3.33,5.33
53-3011.00,1.33,3.0,3.33,1.67,7.0,5.67
53-3031.00,1.33,3.33,5.67,1.0,6.0,2.33
53-3032.00,1.0,4.67,2.0,3.0,7.0,1.0
53-3033.00,1.0,5.33,3.0,2.67,7.0,1.0
53-3052.00,1.0,2.33,3.0,1.0,7.0,3.67
53-4011.00,1.33,4.67,2.33,2.33,7.0,1.67
53-4013.00,1.0,4.33,3.33,3.67,7.0,1.67
53-4022.00,1.0,4.33,2.33,2.17,6.83,1.33
53-4031.00,1.0,5.0,6.33,2.33,5.67,1.33
53-4041.00,1.0,5.33,3.0,2.67,7.0,2.67
53-5011.00,1.0,5.0,3.33,3.0,7.0,1.0
53-5021.00,1.0,4.44,5.89,3.22,6.33,2.11
53-5022.00,1.0,4.67,4.67,3.0,7.0,1.67
53-5031.00,1.0,5.33,5.0,3.0,7.0,2.0
53-6011.00,1.0,4.33,3.67,1.67,6.67,1.33
53-6021.00,1.0,5.67,3.33,1.0,6.67,2.67
53-6031.00,1.0,4.67,2.33,2.33,7.0,3.33
53-6041.00,1.33,3.0,3.67,4.67,6.33,2.33
53-6051.00,1.0,6.33,3.67,2.67,6.67,1.33
53-6051.01,1.0,5.67,2.67,5.33,6.67,1.33
53-6051.07,1.33,5.67,2.0,4.0,6.67,1.33
53-6061.00,1.33,4.33,4.67,1.0,4.67,4.67
53-7011.00,1.0,2.67,2.33,1.0,6.67,1.0
53-7021.00,1.0,4.33,1.67,3.33,7.0,1.0
53-7031.00,1.0,2.0,1.67,1.33,7.0,1.0
53-7041.00,1.0,2.67,2.67,1.33,7.0,1.0
53-7051.00,1.0,4.67,1.67,3.0,7.0,1.0
53-7061.00,1.0,3.33,2.0,1.33,6.67,1.33
53-7062.00,1.0,2.33,1.67,1.0,7.0,1.0
53-7062.04,1.33,6.67,1.67,1.33,6.67,1.33
53-7063.00,1.0,2.67,1.33,1.0,7.0,1.0
53-7064.00,1.0,2.67,2.0,1.0,6.67,1.0
53-7065.00,1.08,6.17,3.33,1.25,5.41,1.75
53-7071.00,1.0,3.0,2.0,1.33,7.0,1.0
53-7072.00,1.0,4.67,2.0,4.0,7.0,1.33
53-7073.00,1.0,5.0,1.33,3.67,7.0,1.0
53-7081.00,1.0,3.67,2.33,1.33,7.0,1.0
53-7121.00,1.0,5.0,2.0,3.0,7.0,1.33
